areaName,date,newCasesBySpecimenDate
England,3/11/2020,588
England,2/11/2020,18826
England,1/11/2020,12457
England,31/10/2020,13649
England,30/10/2020,19380
England,29/10/2020,19809
England,28/10/2020,20189
England,27/10/2020,20443
England,26/10/2020,22706
England,25/10/2020,13097
England,24/10/2020,13513
England,23/10/2020,18085
England,22/10/2020,19582
England,21/10/2020,21469
England,20/10/2020,21309
England,19/10/2020,22076
England,18/10/2020,11847
England,17/10/2020,12350
England,16/10/2020,14519
England,15/10/2020,15234
England,14/10/2020,16431
England,13/10/2020,15425
England,12/10/2020,16180
England,11/10/2020,9642
England,10/10/2020,10149
England,9/10/2020,12991
England,8/10/2020,15250
England,7/10/2020,15183
England,6/10/2020,14281
England,5/10/2020,14031
England,4/10/2020,9805
England,3/10/2020,9699
England,2/10/2020,11559
England,1/10/2020,11289
England,30/9/2020,10512
England,29/9/2020,8720
England,28/9/2020,8572
England,27/9/2020,6026
England,26/9/2020,5645
England,25/9/2020,6042
England,24/9/2020,6296
England,23/9/2020,5888
England,22/9/2020,5371
England,21/9/2020,4700
England,20/9/2020,4621
England,19/9/2020,4185
England,18/9/2020,4277
England,17/9/2020,3938
England,16/9/2020,3748
England,15/9/2020,3046
England,14/9/2020,2897
England,13/9/2020,1710
England,12/9/2020,2212
England,11/9/2020,2857
England,10/9/2020,3101
England,9/9/2020,2851
England,8/9/2020,3001
England,7/9/2020,3465
England,6/9/2020,2056
England,5/9/2020,2190
England,4/9/2020,2587
England,3/9/2020,2666
England,2/9/2020,2617
England,1/9/2020,1929
England,31/8/2020,1259
England,30/8/2020,980
England,29/8/2020,1047
England,28/8/2020,1387
England,27/8/2020,1337
England,26/8/2020,1141
England,25/8/2020,1059
England,24/8/2020,1082
England,23/8/2020,694
England,22/8/2020,715
England,21/8/2020,1004
England,20/8/2020,1221
England,19/8/2020,1071
England,18/8/2020,924
England,17/8/2020,1137
England,16/8/2020,527
England,15/8/2020,644
England,14/8/2020,1043
England,13/8/2020,1020
England,12/8/2020,1093
England,11/8/2020,1213
England,10/8/2020,1350
England,9/8/2020,557
England,8/8/2020,636
England,7/8/2020,864
England,6/8/2020,978
England,5/8/2020,941
England,4/8/2020,920
England,3/8/2020,940
England,2/8/2020,512
England,1/8/2020,493
England,31/7/2020,625
England,30/7/2020,855
England,29/7/2020,973
England,28/7/2020,781
England,27/7/2020,809
England,26/7/2020,515
England,25/7/2020,492
England,24/7/2020,712
England,23/7/2020,733
England,22/7/2020,750
England,21/7/2020,691
England,20/7/2020,753
England,19/7/2020,414
England,18/7/2020,466
England,17/7/2020,546
England,16/7/2020,639
England,15/7/2020,724
England,14/7/2020,649
England,13/7/2020,689
England,12/7/2020,351
England,11/7/2020,422
England,10/7/2020,520
England,9/7/2020,680
England,8/7/2020,672
England,7/7/2020,559
England,6/7/2020,655
England,5/7/2020,539
England,4/7/2020,384
England,3/7/2020,539
England,2/7/2020,561
England,1/7/2020,604
England,30/6/2020,570
England,29/6/2020,666
England,28/6/2020,411
England,27/6/2020,502
England,26/6/2020,644
England,25/6/2020,638
England,24/6/2020,728
England,23/6/2020,726
England,22/6/2020,813
England,21/6/2020,551
England,20/6/2020,628
England,19/6/2020,809
England,18/6/2020,944
England,17/6/2020,912
England,16/6/2020,991
England,15/6/2020,938
England,14/6/2020,745
England,13/6/2020,785
England,12/6/2020,934
England,11/6/2020,917
England,10/6/2020,1085
England,9/6/2020,1057
England,8/6/2020,987
England,7/6/2020,663
England,6/6/2020,721
England,5/6/2020,1021
England,4/6/2020,1143
England,3/6/2020,1243
England,2/6/2020,1351
England,1/6/2020,1312
England,31/5/2020,984
England,30/5/2020,1000
England,29/5/2020,1370
England,28/5/2020,1568
England,27/5/2020,1612
England,26/5/2020,1459
England,25/5/2020,1379
England,24/5/2020,1198
England,23/5/2020,1300
England,22/5/2020,1796
England,21/5/2020,2275
England,20/5/2020,2353
England,19/5/2020,2587
England,18/5/2020,2217
England,17/5/2020,1589
England,16/5/2020,1773
England,15/5/2020,2131
England,14/5/2020,2214
England,13/5/2020,2880
England,12/5/2020,2926
England,11/5/2020,3069
England,10/5/2020,2005
England,9/5/2020,1793
England,8/5/2020,2615
England,7/5/2020,3204
England,6/5/2020,3270
England,5/5/2020,3143
England,4/5/2020,2840
England,3/5/2020,2630
England,2/5/2020,2746
England,1/5/2020,4089
England,30/4/2020,4315
England,29/4/2020,4741
England,28/4/2020,4122
England,27/4/2020,4033
England,26/4/2020,3134
England,25/4/2020,3374
England,24/4/2020,4361
England,23/4/2020,4562
England,22/4/2020,4796
England,21/4/2020,3971
England,20/4/2020,3687
England,19/4/2020,3473
England,18/4/2020,4116
England,17/4/2020,4076
England,16/4/2020,4366
England,15/4/2020,4225
England,14/4/2020,3557
England,13/4/2020,3443
England,12/4/2020,2945
England,11/4/2020,3083
England,10/4/2020,3584
England,9/4/2020,4062
England,8/4/2020,4293
England,7/4/2020,4580
England,6/4/2020,4389
England,5/4/2020,3086
England,4/4/2020,3383
England,3/4/2020,4101
England,2/4/2020,4071
England,1/4/2020,4104
England,31/3/2020,3783
England,30/3/2020,3526
England,29/3/2020,2440
England,28/3/2020,2375
England,27/3/2020,2657
England,26/3/2020,2614
England,25/3/2020,2266
England,24/3/2020,2026
England,23/3/2020,2015
England,22/3/2020,1210
England,21/3/2020,1036
England,20/3/2020,1084
England,19/3/2020,930
England,18/3/2020,908
England,17/3/2020,679
England,16/3/2020,546
England,15/3/2020,398
England,14/3/2020,314
England,13/3/2020,393
England,12/3/2020,414
England,11/3/2020,353
England,10/3/2020,226
England,9/3/2020,124
England,8/3/2020,50
England,7/3/2020,54
England,6/3/2020,73
England,5/3/2020,47
England,4/3/2020,49
England,3/3/2020,53
England,2/3/2020,39
England,1/3/2020,20
England,29/2/2020,5
England,28/2/2020,11
England,27/2/2020,7
England,26/2/2020,4
England,25/2/2020,5
England,24/2/2020,2
England,23/2/2020,1
England,22/2/2020,0
England,21/2/2020,1
England,20/2/2020,0
England,19/2/2020,0
England,18/2/2020,0
England,17/2/2020,0
England,16/2/2020,0
England,15/2/2020,0
England,14/2/2020,0
England,13/2/2020,0
England,12/2/2020,0
England,11/2/2020,9
England,10/2/2020,0
England,9/2/2020,1
England,8/2/2020,4
England,7/2/2020,0
England,6/2/2020,0
England,5/2/2020,1
England,4/2/2020,0
England,3/2/2020,0
England,2/2/2020,1
England,1/2/2020,0
England,31/1/2020,0
England,30/1/2020,2
Northern Ireland,3/11/2020,505
Northern Ireland,2/11/2020,716
Northern Ireland,1/11/2020,486
Northern Ireland,31/10/2020,543
Northern Ireland,30/10/2020,725
Northern Ireland,29/10/2020,729
Northern Ireland,28/10/2020,794
Northern Ireland,27/10/2020,853
Northern Ireland,26/10/2020,926
Northern Ireland,25/10/2020,706
Northern Ireland,24/10/2020,771
Northern Ireland,23/10/2020,899
Northern Ireland,22/10/2020,1099
Northern Ireland,21/10/2020,1135
Northern Ireland,20/10/2020,1080
Northern Ireland,19/10/2020,1059
Northern Ireland,18/10/2020,799
Northern Ireland,17/10/2020,852
Northern Ireland,16/10/2020,984
Northern Ireland,15/10/2020,1112
Northern Ireland,14/10/2020,1072
Northern Ireland,13/10/2020,1094
Northern Ireland,12/10/2020,1116
Northern Ireland,11/10/2020,838
Northern Ireland,10/10/2020,805
Northern Ireland,9/10/2020,856
Northern Ireland,8/10/2020,991
Northern Ireland,7/10/2020,1041
Northern Ireland,6/10/2020,806
Northern Ireland,5/10/2020,714
Northern Ireland,4/10/2020,616
Northern Ireland,3/10/2020,626
Northern Ireland,2/10/2020,701
Northern Ireland,1/10/2020,485
Northern Ireland,30/9/2020,644
Northern Ireland,29/9/2020,396
Northern Ireland,28/9/2020,299
Northern Ireland,27/9/2020,273
Northern Ireland,26/9/2020,270
Northern Ireland,25/9/2020,245
Northern Ireland,24/9/2020,286
Northern Ireland,23/9/2020,221
Northern Ireland,22/9/2020,171
Northern Ireland,21/9/2020,135
Northern Ireland,20/9/2020,124
Northern Ireland,19/9/2020,161
